Occasion,Household,Week,Loyalty,Price,Feature,Display,Tide,Wisk,Era,Choice,Brand
56,42,42,0.0,4.75,0,0,0,0,1,0,3
56,42,42,0.73,3.88,0,0,0,0,0,1,4
57,42,50,0.0,6.95,0,0,1,0,0,0,1
57,42,50,0.27,3.58,0,0,0,1,0,1,2
57,42,50,0.0,6.95,0,0,0,0,1,0,3
57,42,50,0.73,5.39,0,0,0,0,0,0,4
58,43,3,0.33,5.28,0,1,1,0,0,1,1
58,43,3,0.33,4.22,0,0,0,1,0,0,2
58,43,3,0.0,6.45,0,0,0,0,1,0,3
58,43,3,0.33,4.89,0,0,0,0,0,0,4
59,43,4,0.33,5.28,0,1,1,0,0,1,1
59,43,4,0.33,4.22,0,0,0,1,0,0,2
59,43,4,0.0,6.45,0,0,0,0,1,0,3
59,43,4,0.33,4.89,0,0,0,0,0,0,4
60,43,11,0.33,4.98,0,1,1,0,0,1,1
60,43,11,0.33,4.22,0,0,0,1,0,0,2
60,43,11,0.0,5.28,0,0,0,0,1,0,3
60,43,11,0.33,4.89,0,0,0,0,0,0,4
61,43,11,0.33,4.98,0,1,1,0,0,1,1
61,43,11,0.33,4.22,0,0,0,1,0,0,2
61,43,11,0.0,5.28,0,0,0,0,1,0,3
61,43,11,0.33,4.89,0,0,0,0,0,0,4
62,46,2,0.0,5.08,0,1,1,0,0,0,1
62,46,2,0.0,4.67,0,1,0,1,0,0,2
62,46,2,0.16,5.06,0,0,0,0,1,0,3
62,46,2,0.79,4.67,0,0,0,0,0,1,4
63,46,6,0.0,6.45,0,0,1,0,0,0,1
63,46,6,0.0,4.36,0,1,0,1,0,0,2
63,46,6,0.16,6.45,0,0,0,0,1,0,3
63,46,6,0.79,4.89,0,0,0,0,0,1,4
64,46,7,0.0,5.28,0,0,1,0,0,0,1
64,46,7,0.0,4.36,0,0,0,1,0,0,2
64,46,7,0.16,6.45,0,0,0,0,1,0,3
64,46,7,0.79,6.45,0,0,0,0,0,1,4
65,46,10,0.0,5.28,0,0,1,0,0,0,1
65,46,10,0.0,4.2,1,0,0,1,0,0,2
65,46,10,0.16,5.28,0,0,0,0,1,0,3
65,46,10,0.79,6.45,0,0,0,0,0,1,4
66,46,37,0.0,6.55,0,0,1,0,0,0,1
66,46,37,0.0,6.55,0,0,0,1,0,0,2
66,46,37,0.16,4.67,1,1,0,0,1,0,3
66,46,37,0.79,3.88,0,0,0,0,0,1,4
67,46,44,0.0,6.55,0,0,1,0,0,0,1
67,46,44,0.0,4.67,0,0,0,1,0,0,2
67,46,44,0.16,5.45,0,0,0,0,1,0,3
67,46,44,0.79,6.55,0,0,0,0,0,1,4
68,46,46,0.0,6.55,0,0,1,0,0,0,1
68,46,46,0.0,4.67,0,0,0,1,0,0,2
68,46,46,0.16,5.45,0,0,0,0,1,0,3
68,46,46,0.79,4.98,0,0,0,0,0,1,4
69,46,48,0.0,6.97,0,0,1,0,0,0,1
69,46,48,0.0,3.88,0,0,0,1,0,0,2
69,46,48,0.16,7.0,0,0,0,0,1,0,3
69,46,48,0.79,5.41,0,0,0,0,0,1,4
70,96,30,0.0,4.98,1,0,1,0,0,0,1
70,96,30,0.0,4.67,0,1,0,1,0,0,2
70,96,30,0.72,6.45,0,0,0,0,1,1,3
70,96,30,0.22,4.67,0,0,0,0,0,0,4
71,96,33,0.0,6.45,0,0,1,0,0,0,1
71,96,33,0.0,4.89,0,0,0,1,0,0,2
71,96,33,0.72,5.45,0,0,0,0,1,1,3
71,96,33,0.22,4.2,0,0,0,0,0,0,4
72,96,36,0.0,6.45,0,0,1,0,0,0,1
72,96,36,0.0,4.89,0,0,0,1,0,0,2
72,96,36,0.72,5.45,0,1,0,0,1,1,3
72,96,36,0.22,4.67,0,0,0,0,0,0,4
73,96,39,0.0,6.45,0,0,1,0,0,0,1
73,96,39,0.0,4.52,1,1,0,1,0,0,2
73,96,39,0.72,5.45,0,0,0,0,1,1,3
73,96,39,0.22,4.67,0,0,0,0,0,0,4
74,96,42,0.0,6.45,0,0,1,0,0,0,1
74,96,42,0.0,4.67,0,1,0,1,0,0,2
74,96,42,0.72,5.45,0,0,0,0,1,1,3
74,96,42,0.22,4.67,0,0,0,0,0,0,4
75,96,48,0.0,6.95,0,0,1,0,0,0,1
75,96,48,0.0,3.89,1,1,0,1,0,0,2
75,96,48,0.72,6.95,0,0,0,0,1,1,3
75,96,48,0.22,4.89,0,0,0,0,0,0,4
76,96,51,0.0,6.95,0,0,1,0,0,0,1
76,96,51,0.0,4.67,0,0,0,1,0,0,2
76,96,51,0.72,6.95,0,0,0,0,1,1,3
76,96,51,0.22,5.39,0,0,0,0,0,0,4
77,113,1,0.0,6.45,0,0,1,0,0,0,1
77,113,1,0.0,3.89,1,1,0,1,0,0,2
77,113,1,1.0,6.45,0,0,0,0,1,1,3
77,113,1,0.0,6.45,0,0,0,0,0,0,4
78,113,10,0.0,6.55,0,0,1,0,0,0,1
78,113,10,0.0,4.98,0,0,0,1,0,0,2
78,113,10,1.0,5.38,0,0,0,0,1,1,3
78,113,10,0.0,4.98,0,0,0,0,0,0,4
79,113,39,0.0,6.45,0,0,1,0,0,0,1
79,113,39,0.0,4.52,1,1,0,1,0,0,2
79,113,39,1.0,5.45,0,0,0,0,1,1,3
79,113,39,0.0,4.67,0,0,0,0,0,0,4
80,113,52,0.0,6.95,0,0,1,0,0,0,1
80,113,52,0.0,4.95,0,0,0,1,0,0,2
80,113,52,1.0,6.95,0,0,0,0,1,1,3
80,113,52,0.0,5.39,0,0,0,0,0,0,4
81,119,15,0.0,5.43,0,0,1,0,0,0,1
81,119,15,1.0,4.89,0,0,0,1,0,1,2
81,119,15,0.0,6.94,0,0,0,0,1,0,3
81,119,15,0.0,6.45,0,0,0,0,0,0,4
82,119,19,0.0,6.45,0,0,1,0,0,0,1
82,119,19,1.0,4.89,0,0,0,1,0,1,2
82,119,19,0.0,6.45,0,0,0,0,1,0,3
82,119,19,0.0,4.89,0,0,0,0,0,0,4
83,119,29,0.0,6.45,0,0,1,0,0,0,1
83,119,29,1.0,4.67,0,0,0,1,0,1,2
83,119,29,0.0,6.45,0,0,0,0,1,0,3
83,119,29,0.0,4.67,0,0,0,0,0,0,4
84,119,34,0.0,6.45,0,0,1,0,0,1,1
84,119,34,1.0,4.89,0,0,0,1,0,0,2
84,119,34,0.0,5.45,0,0,0,0,1,0,3
84,119,34,0.0,4.67,0,0,0,0,0,0,4
85,119,34,0.0,6.45,0,0,1,0,0,0,1
85,119,34,1.0,4.89,0,0,0,1,0,1,2
85,119,34,0.0,5.45,0,0,0,0,1,0,3
85,119,34,0.0,4.67,0,0,0,0,0,0,4
86,119,43,0.0,6.45,0,0,1,0,0,0,1
86,119,43,1.0,4.67,0,1,0,1,0,1,2
86,119,43,0.0,5.45,0,0,0,0,1,0,3
86,119,43,0.0,4.67,0,0,0,0,0,0,4
87,119,45,0.0,6.45,0,0,1,0,0,0,1
87,119,45,1.0,4.67,0,0,0,1,0,1,2
87,119,45,0.0,6.45,0,0,0,0,1,0,3
87,119,45,0.0,4.89,0,0,0,0,0,0,4
88,130,1,0.18,5.08,1,1,1,0,0,1,1
88,130,1,0.27,4.33,0,0,0,1,0,0,2
88,130,1,0.27,6.45,0,0,0,0,1,0,3
88,130,1,0.18,4.67,0,0,0,0,0,0,4
89,130,5,0.18,5.38,0,1,1,0,0,0,1
89,130,5,0.27,4.67,0,0,0,1,0,1,2
89,130,5,0.27,5.28,0,0,0,0,1,0,3
89,130,5,0.18,4.67,1,1,0,0,0,0,4
90,130,6,0.18,5.08,0,0,1,0,0,0,1
90,130,6,0.27,4.67,0,0,0,1,0,0,2
90,130,6,0.27,5.28,0,0,0,0,1,0,3
90,130,6,0.18,4.67,1,0,0,0,0,1,4
91,130,10,0.18,6.55,0,0,1,0,0,0,1
91,130,10,0.27,4.98,0,0,0,1,0,0,2
91,130,10,0.27,5.38,0,0,0,0,1,0,3
91,130,10,0.18,4.98,0,0,0,0,0,1,4
92,132,6,0.0,5.08,0,0,1,0,0,0,1
92,132,6,0.0,4.67,0,0,0,1,0,0,2
92,132,6,0.0,5.28,0,0,0,0,1,0,3
92,132,6,1.0,4.67,1,0,0,0,0,1,4
93,132,32,0.0,6.45,0,0,1,0,0,0,1
93,132,32,0.0,4.86,0,0,0,1,0,0,2
93,132,32,0.0,6.45,0,0,0,0,1,0,3
93,132,32,1.0,4.2,1,1,0,0,0,1,4
94,132,41,0.0,6.55,0,0,1,0,0,0,1
94,132,41,0.0,3.81,1,1,0,1,0,1,2
94,132,41,0.0,5.45,0,0,0,0,1,0,3
94,132,41,1.0,4.67,0,0,0,0,0,0,4
95,132,47,0.0,6.97,0,0,1,0,0,0,1
95,132,47,0.0,3.88,1,0,0,1,0,1,2
95,132,47,0.0,7.0,0,0,0,0,1,0,3
95,132,47,1.0,5.41,0,0,0,0,0,0,4
96,147,2,0.82,5.08,0,1,1,0,0,1,1
96,147,2,0.0,4.67,0,0,0,1,0,0,2
96,147,2,0.0,6.55,0,0,0,0,1,0,3
96,147,2,0.09,4.89,0,0,0,0,0,0,4
97,147,8,0.82,5.14,1,1,1,0,0,1,1
97,147,8,0.0,4.67,0,0,0,1,0,0,2
97,147,8,0.0,5.28,0,0,0,0,1,0,3
97,147,8,0.09,4.98,0,0,0,0,0,0,4
98,147,11,0.82,5.08,0,0,1,0,0,1,1
98,147,11,0.0,4.94,0,0,0,1,0,0,2
98,147,11,0.0,5.19,0,0,0,0,1,0,3
98,147,11,0.09,4.93,0,0,0,0,0,0,4
99,147,21,0.82,4.67,0,0,1,0,0,1,1
99,147,21,0.0,4.98,0,0,0,1,0,0,2
99,147,21,0.0,6.55,0,0,0,0,1,0,3
99,147,21,0.09,4.98,0,0,0,0,0,0,4
100,147,35,0.82,6.45,0,0,1,0,0,1,1
