Occasion,Household,Week,Loyalty,Price,Feature,Display,Tide,Wisk,Era,Choice,TotalHouseholds,TotalOccasions,OverallAvgPrice,PctFeature,PctDisplay
37,21,47,0.0,5.41,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
38,21,50,0.0,7.02,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
38,21,50,1.0,4.67,0,0,0,1,0,1,52,348,5.40455459770115,6.25,9.770114942528735
38,21,50,0.0,7.02,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
38,21,50,0.0,5.45,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
39,34,5,1.0,5.39,0,0,1,0,0,1,52,348,5.40455459770115,6.25,9.770114942528735
39,34,5,0.0,5.27,0,0,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
39,34,5,0.0,5.39,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
39,34,5,0.0,5.02,0,1,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
40,34,7,1.0,5.39,0,1,1,0,0,1,52,348,5.40455459770115,6.25,9.770114942528735
40,34,7,0.0,5.03,0,0,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
40,34,7,0.0,5.39,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
40,34,7,0.0,5.02,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
41,34,12,1.0,5.39,0,0,1,0,0,1,52,348,5.40455459770115,6.25,9.770114942528735
41,34,12,0.0,5.24,0,0,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
41,34,12,0.0,6.94,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
41,34,12,0.0,5.01,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
42,34,15,1.0,5.39,0,0,1,0,0,1,52,348,5.40455459770115,6.25,9.770114942528735
42,34,15,0.0,5.03,0,0,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
42,34,15,0.0,4.03,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
42,34,15,0.0,6.63,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
43,34,24,1.0,5.39,0,0,1,0,0,1,52,348,5.40455459770115,6.25,9.770114942528735
43,34,24,0.0,5.03,0,0,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
43,34,24,0.0,6.56,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
43,34,24,0.0,5.06,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
44,34,27,1.0,5.39,0,0,1,0,0,1,52,348,5.40455459770115,6.25,9.770114942528735
44,34,27,0.0,5.03,0,0,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
44,34,27,0.0,6.56,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
44,34,27,0.0,5.06,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
45,34,31,1.0,5.39,0,0,1,0,0,1,52,348,5.40455459770115,6.25,9.770114942528735
45,34,31,0.0,5.03,0,0,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
45,34,31,0.0,6.56,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
45,34,31,0.0,6.63,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
46,34,33,1.0,5.39,0,0,1,0,0,1,52,348,5.40455459770115,6.25,9.770114942528735
46,34,33,0.0,5.03,0,0,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
46,34,33,0.0,6.56,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
46,34,33,0.0,6.63,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
47,34,42,1.0,6.56,0,0,1,0,0,1,52,348,5.40455459770115,6.25,9.770114942528735
47,34,42,0.0,4.22,0,1,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
47,34,42,0.0,4.75,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
47,34,42,0.0,3.88,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
48,42,2,0.0,4.73,0,1,1,0,0,1,52,348,5.40455459770115,6.25,9.770114942528735
48,42,2,0.27,5.27,0,0,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
48,42,2,0.0,5.11,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
48,42,2,0.73,5.02,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
49,42,2,0.0,4.73,0,1,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
49,42,2,0.27,5.27,0,0,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
49,42,2,0.0,5.11,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
49,42,2,0.73,5.02,0,0,0,0,0,1,52,348,5.40455459770115,6.25,9.770114942528735
50,42,3,0.0,5.39,0,1,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
50,42,3,0.27,5.27,0,0,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
50,42,3,0.0,5.39,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
50,42,3,0.73,5.02,0,0,0,0,0,1,52,348,5.40455459770115,6.25,9.770114942528735
51,42,6,0.0,5.39,0,1,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
51,42,6,0.27,5.27,0,0,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
